job_id,resume_id,skills_score,degrees_score,majors_score,overall_score
4982,4595,0.527115,0.5,0.5,0.5135575
4982,4289,0.664003,0.5,0.5,0.5820015000000001
4982,4329,0.664003,0.5,0.5,0.5820015000000001
4982,4448,0.0,0.5,0.5,0.25
4982,4287,0.441329,0.5,0.5,0.47066450000000004
4982,4334,0.527115,0.5,0.5,0.5135575
4982,5184,0.510481,0.5,0.5,0.5052405
4982,4515,0.470069,0.5,0.5,0.48503450000000004
4982,4385,0.527115,0.5,0.5,0.5135575
4982,4288,0.505354,0.5,0.5,0.502677
4670,4521,0.352016,0.5,0.5,0.426008
4670,4882,0.178878,0.5,0.5,0.339439
4670,4337,0.436646,0.5,0.5,0.468323
4670,4386,0.371529,0.5,0.5,0.4357645
4670,4772,0.153372,0.5,0.5,0.32668600000000003
4670,4291,0.15198,0.5,0.5,0.32599
4670,4520,0.171106,0.5,0.5,0.335553
4670,4333,0.472693,0.5,0.5,0.4863465
4670,4382,0.521504,0.5,0.5,0.510752
4670,4448,0.161615,0.5,0.5,0.33080750000000003
5278,4297,0.537054,0.5,0.5,0.518527
5278,4327,0.695211,0.5,0.5,0.5976055
5278,4289,0.537054,0.5,0.5,0.518527
5278,4329,0.472929,0.5,0.5,0.48646449999999997
5278,4448,0.770311,0.5,0.5,0.6351555
5278,4287,0.549248,0.5,0.5,0.524624
5278,4993,0.598956,0.5,0.5,0.549478
5278,5184,0.537054,0.5,0.5,0.518527
5278,4515,0.181824,0.5,0.5,0.340912
5278,4385,0.537054,0.5,0.5,0.518527
5175,4336,0.455083,0,0.5,0.3525415
5175,4292,0.36811,0,0.5,0.30905499999999997
5175,4297,0.418382,0,0.5,0.334191
5175,4327,0.614325,0,0.5,0.4321625
5175,4595,0.474393,0,0.5,0.36219650000000003
5175,4289,0.504697,0,0.5,0.3773485
5175,4287,0.590281,0,0.5,0.4201405
5175,4993,0.292823,0,0.5,0.2714115
5175,4334,0.695971,0,0.5,0.4729855
5175,4288,0.343627,0,0.5,0.2968135
4681,4289,0.384981,0,0.5,0.3174905
4681,4329,0.403658,0,0.5,0.32682900000000004
4681,4448,0.203142,0,0.5,0.226571
4681,4287,0.315459,0,0.5,0.28272949999999997
4681,4993,0.382655,0,0.5,0.3163275
4681,4334,0.415332,0,0.5,0.332666
4681,5184,0.256028,0,0.5,0.25301399999999996
4681,4515,0.402454,0,0.5,0.326227
4681,4385,0.407221,0,0.5,0.3286105
